金沢	大宮	TRAIN	普通車	グリーン車	グランクラス
09:22	12:11	はくたか５５８号	×	△	×
09:47	11:55	かがやき５０８号	×	△	×
10:16	12:27	かがやき５２６号	×	△	×
10:48	12:55	かがやき５４２号	×	△	×
10:57	13:27	はくたか５６０号	×	△	×
11:46	13:55	かがやき５２８号	×	△	×
11:57	14:27	はくたか５６２号	△	×	×
15:02	17:09	かがやき５３４号＜ＧＣＳ＞	×	△	×
15:56	18:03	かがやき５１０号	×	△	×
16:48	18:54	かがやき５１２号	×	△	×
17:08	19:19	かがやき５３６号	×	△	×
17:56	20:00	かがやき５１４号	×	△	×
18:10	20:50	はくたか５７４号	×	△	×
18:48	20:55	かがやき５３８号	△	△	×
19:03	21:47	はくたか５７６号	△	△	×
19:19	21:31	かがやき５１６号	△	△	×
20:18	22:59	はくたか５７８号	△	△	×
21:01	23:05	かがやき５１８号	△	△	×
